            x(i)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)
     0.54402E+00    0.28077E-03    0.28065E-03    0.28049E-03    0.28030E-03    0.28004E-03    0.27968E-03    0.27919E-03    0.27850E-03    0.27756E-03    0.27627E-03    0.27449E-03    0.27206E-03    0.26873E-03    0.26419E-03    0.25805E-03    0.24980E-03    0.23881E-03    0.22438E-03    0.20581E-03    0.18257E-03    0.15457E-03    0.12261E-03    0.88824E-04    0.56712E-04    0.30404E-04    0.12831E-04    0.39231E-05    0.78521E-06    0.91566E-07    0.54825E-08    0.14759E-09    0.15800E-11    0.64248E-14    0.10685E-16    0.81768E-20    0.31530E-23    0.65395E-27    0.79328E-31    0.55470E-35    0.25445E-39    0.91667E-44    0.15428E-48    0.10021E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.75096E+00    0.25648E-03    0.25636E-03    0.25624E-03    0.25610E-03    0.25592E-03    0.25567E-03    0.25533E-03    0.25485E-03    0.25419E-03    0.25328E-03    0.25203E-03    0.25032E-03    0.24796E-03    0.24473E-03    0.24031E-03    0.23431E-03    0.22619E-03    0.21531E-03    0.20094E-03    0.18232E-03    0.15892E-03    0.13079E-03    0.99158E-04    0.66899E-04    0.38295E-04    0.17455E-04    0.58416E-05    0.13009E-05    0.17223E-06    0.11992E-07    0.38725E-09    0.52215E-11    0.28576E-13    0.68340E-16    0.79656E-19    0.48774E-22    0.16604E-25    0.33775E-29    0.38300E-33    0.38044E-37    0.35456E-42    0.16557E-45    0.15454E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.10366E+01    0.20071E-03    0.20062E-03    0.20054E-03    0.20049E-03    0.20044E-03    0.20035E-03    0.20023E-03    0.20007E-03    0.19984E-03    0.19953E-03    0.19909E-03    0.19848E-03    0.19762E-03    0.19641E-03    0.19469E-03    0.19224E-03    0.18873E-03    0.18368E-03    0.17641E-03    0.16601E-03    0.15141E-03    0.13166E-03    0.10655E-03    0.77522E-04    0.48356E-04    0.24281E-04    0.90617E-05    0.22837E-05    0.34843E-06    0.28609E-07    0.11244E-08    0.19304E-10    0.14211E-12    0.48462E-15    0.84650E-18    0.80723E-21    0.44299E-24    0.14469E-27    0.28829E-31    0.42023E-35    0.10680E-39    0.67415E-43    0.69348E-47    0.10703E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.14309E+01    0.12714E-03    0.12708E-03    0.12706E-03    0.12709E-03    0.12716E-03    0.12723E-03    0.12733E-03    0.12747E-03    0.12766E-03    0.12792E-03    0.12827E-03    0.12873E-03    0.12934E-03    0.13012E-03    0.13110E-03    0.13226E-03    0.13352E-03    0.13466E-03    0.13522E-03    0.13436E-03    0.13074E-03    0.12256E-03    0.10802E-03    0.86456E-04    0.59930E-04    0.33811E-04    0.14358E-04    0.41795E-05    0.75010E-06    0.74113E-07    0.36106E-08    0.79796E-10    0.79026E-12    0.37969E-14    0.97476E-17    0.14169E-19    0.12146E-22    0.62816E-26    0.21094E-29    0.39965E-33    0.66463E-37    0.52436E-41    0.38220E-45    0.21652E-48    0.10027E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.19752E+01    0.60406E-04    0.60378E-04    0.60393E-04    0.60459E-04    0.60577E-04    0.60723E-04    0.60925E-04    0.61203E-04    0.61584E-04    0.62107E-04    0.62821E-04    0.63794E-04    0.65110E-04    0.66880E-04    0.69232E-04    0.72310E-04    0.76246E-04    0.81111E-04    0.86807E-04    0.92899E-04    0.98367E-04    0.10135E-03    0.99177E-04    0.89063E-04    0.70075E-04    0.45458E-04    0.22522E-04    0.77760E-05    0.16865E-05    0.20581E-06    0.12711E-07    0.36698E-09    0.49007E-11    0.32770E-13    0.12107E-15    0.26111E-18    0.33908E-21    0.27337E-24    0.13956E-27    0.44299E-31    0.11532E-34    0.33320E-39    0.50061E-42    0.66260E-46    0.18984E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.27266E+01    0.19445E-04    0.19436E-04    0.19455E-04    0.19508E-04    0.19598E-04    0.19712E-04    0.19870E-04    0.20087E-04    0.20387E-04    0.20799E-04    0.21366E-04    0.22146E-04    0.23215E-04    0.24677E-04    0.26668E-04    0.29362E-04    0.32975E-04    0.37750E-04    0.43918E-04    0.51593E-04    0.60554E-04    0.69873E-04    0.77443E-04    0.79790E-04    0.73073E-04    0.56060E-04    0.33417E-04    0.14138E-04    0.38312E-05    0.59654E-06    0.48078E-07    0.18528E-08    0.33637E-10    0.31046E-12    0.16168E-14    0.50324E-17    0.96372E-20    0.11610E-22    0.89066E-26    0.45468E-29    0.14148E-32    0.34269E-36    0.55125E-40    0.42930E-44    0.36545E-47    0.10659E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.37637E+01    0.37113E-05    0.37096E-05    0.37186E-05    0.37408E-05    0.37774E-05    0.38245E-05    0.38897E-05    0.39798E-05    0.41045E-05    0.42774E-05    0.45172E-05    0.48505E-05    0.53147E-05    0.59632E-05    0.68721E-05    0.81504E-05    0.99543E-05    0.12505E-04    0.16105E-04    0.21136E-04    0.28004E-04    0.36920E-04    0.47413E-04    0.57512E-04    0.63118E-04    0.59154E-04    0.43960E-04    0.23675E-04    0.83406E-05    0.17240E-05    0.18822E-06    0.99889E-08    0.25129E-09    0.32043E-11    0.23167E-13    0.10170E-15    0.27906E-18    0.48715E-21    0.55137E-24    0.40579E-27    0.19972E-30    0.66551E-34    0.12020E-37    0.34988E-41    0.23001E-45    0.98324E-49    0.10004E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.51954E+01    0.35361E-06    0.35345E-06    0.35541E-06    0.36003E-06    0.36755E-06    0.37732E-06    0.39088E-06    0.40973E-06    0.43602E-06    0.47281E-06    0.52455E-06    0.59779E-06    0.70233E-06    0.85317E-06    0.10737E-05    0.14013E-05    0.18967E-05    0.26600E-05    0.38569E-05    0.57580E-05    0.87858E-05    0.13535E-04    0.20655E-04    0.30340E-04    0.41179E-04    0.48829E-04    0.47030E-04    0.33640E-04    0.16120E-04    0.46352E-05    0.71800E-06    0.54772E-07    0.19756E-08    0.35384E-10    0.35391E-12    0.21575E-14    0.83015E-17    0.20536E-19    0.33086E-22    0.35118E-25    0.24949E-28    0.11448E-31    0.41017E-35    0.56278E-39    0.22273E-42    0.13934E-46    0.14616E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.71716E+01    0.13487E-07    0.13481E-07    0.13663E-07    0.14081E-07    0.14761E-07    0.15650E-07    0.16894E-07    0.18640E-07    0.21107E-07    0.24623E-07    0.29687E-07    0.37084E-07    0.48082E-07    0.64797E-07    0.90873E-07    0.13280E-06    0.20250E-06    0.32251E-06    0.53644E-06    0.92993E-06    0.16713E-05    0.30830E-05    0.57403E-05    0.10511E-04    0.18216E-04    0.28324E-04    0.36798E-04    0.36549E-04    0.25012E-04    0.10538E-04    0.24439E-05    0.28286E-06    0.15392E-07    0.40218E-09    0.56437E-11    0.47614E-13    0.25417E-15    0.87635E-18    0.19777E-20    0.29575E-23    0.29379E-26    0.19917E-29    0.87745E-33    0.28462E-36    0.59111E-40    0.42524E-44    0.32379E-47    0.10679E-49    0.10000E-49    0.10000E-49
     0.98996E+01    0.15306E-09    0.15299E-09    0.15896E-09    0.17250E-09    0.19459E-09    0.22387E-09    0.26545E-09    0.32505E-09    0.41161E-09    0.53938E-09    0.73197E-09    0.10298E-08    0.15047E-08    0.22893E-08    0.36388E-08    0.60635E-08    0.10629E-07    0.19651E-07    0.38376E-07    0.79121E-07    0.17165E-06    0.38888E-06    0.90727E-06    0.21306E-05    0.48632E-05    0.10261E-04    0.18687E-04    0.26915E-04    0.27614E-04    0.17984E-04    0.66150E-05    0.12351E-05    0.10820E-06    0.43857E-08    0.89714E-10    0.10608E-11    0.78602E-14    0.37593E-16    0.11785E-18    0.24477E-21    0.34001E-24    0.31838E-27    0.20014E-30    0.89547E-34    0.22462E-37    0.75030E-41    0.38436E-45    0.41278E-48    0.10059E-49    0.10000E-49
     0.13665E+02    0.33250E-12    0.33235E-12    0.38446E-12    0.50249E-12    0.69822E-12    0.96614E-12    0.13620E-11    0.19586E-11    0.28814E-11    0.43518E-11    0.67777E-11    0.10940E-10    0.18395E-10    0.32382E-10    0.59955E-10    0.11726E-09    0.24320E-09    0.53674E-09    0.12640E-08    0.31805E-08    0.85417E-08    0.24368E-07    0.73061E-07    0.22589E-06    0.69837E-06    0.20618E-05    0.54483E-05    0.11833E-04    0.19033E-04    0.20153E-04    0.12437E-04    0.39872E-05    0.60402E-06    0.41152E-07    0.13139E-08    0.22526E-10    0.23468E-12    0.15650E-14    0.68177E-17    0.19646E-19    0.37834E-22    0.48979E-25    0.43124E-28    0.25558E-31    0.10642E-34    0.28958E-38    0.54440E-42    0.11243E-45    0.22436E-49    0.10006E-49
     0.18863E+02    0.70424E-16    0.70392E-16    0.15022E-15    0.33309E-15    0.65695E-15    0.11535E-14    0.19838E-14    0.34199E-14    0.59983E-14    0.10806E-13    0.20135E-13    0.39021E-13    0.79024E-13    0.16801E-12    0.37680E-12    0.89582E-12    0.22691E-11    0.61528E-11    0.17938E-10    0.56413E-10    0.19166E-09    0.70238E-09    0.27584E-08    0.11445E-07    0.48919E-07    0.20679E-06    0.81426E-06    0.27523E-05    0.72036E-05    0.12952E-04    0.14094E-04    0.82117E-05    0.23014E-05    0.28722E-06    0.15763E-07    0.41879E-09    0.63089E-11    0.59448E-13    0.36277E-15    0.14570E-17    0.38951E-20    0.69908E-23    0.84872E-26    0.69882E-29    0.39721E-32    0.14857E-35    0.44130E-39    0.52982E-43    0.17697E-46    0.11193E-49
     0.26039E+02    0.55824E-21    0.55799E-21    0.11971E-19    0.40661E-19    0.11446E-18    0.28623E-18    0.68139E-18    0.15807E-17    0.36477E-17    0.84965E-17    0.20222E-16    0.49652E-16    0.12678E-15    0.33893E-15    0.95455E-15    0.28489E-14    0.90635E-14    0.30919E-13    0.11375E-12    0.45368E-12    0.19702E-11    0.93371E-11    0.48210E-10    0.26899E-09    0.15925E-08    0.96810E-08    0.57338E-07    0.30659E-06    0.13379E-05    0.42200E-05    0.84262E-05    0.93475E-05    0.51239E-05    0.12623E-05    0.13225E-06    0.60586E-08    0.13983E-09    0.19041E-11    0.16481E-13    0.93040E-16    0.34741E-18    0.86686E-21    0.14570E-23    0.16610E-26    0.12890E-29    0.68595E-33    0.25163E-36    0.61037E-40    0.12698E-43    0.46776E-48
     0.35943E+02    0.45502E-28    0.45481E-28    0.61025E-25    0.48230E-24    0.40084E-23    0.19187E-22    0.73062E-22    0.25034E-21    0.81585E-21    0.26071E-20    0.83375E-20    0.27093E-19    0.90542E-19    0.31430E-18    0.11428E-17    0.43846E-17    0.17875E-16    0.77961E-16    0.36636E-15    0.18683E-14    0.10405E-13    0.63585E-13    0.42731E-12    0.31512E-11    0.25256E-10    0.21518E-09    0.18717E-08    0.15578E-07    0.11297E-06    0.63228E-06    0.23745E-05    0.51895E-05    0.57991E-05    0.29768E-05    0.64819E-06    0.58027E-07    0.22860E-08    0.47125E-10    0.58859E-12    0.47173E-14    0.24773E-16    0.86335E-19    0.20165E-21    0.31791E-24    0.34031E-27    0.24932E-30    0.12415E-33    0.43477E-37    0.99859E-41    0.17483E-44
     0.49615E+02    0.66094E-38    0.66064E-38    0.33391E-32    0.10843E-29    0.32859E-28    0.41124E-27    0.29836E-26    0.16597E-25    0.80993E-25    0.37036E-24    0.16471E-23    0.72970E-23    0.32753E-22    0.15094E-21    0.72211E-21    0.36222E-20    0.19229E-19    0.10897E-18    0.66441E-18    0.43872E-17    0.31569E-16    0.24915E-15    0.21697E-14    0.20896E-13    0.22151E-12    0.25485E-11    0.30964E-10    0.37896E-09    0.43369E-08    0.41659E-07    0.29189E-06    0.12741E-05    0.29816E-05    0.33029E-05    0.15762E-05    0.30417E-06    0.23571E-07    0.81437E-09    0.15205E-10    0.17505E-12    0.13008E-14    0.63550E-17    0.20658E-19    0.45062E-22    0.66520E-25    0.66770E-28    0.45666E-31    0.21678E-34    0.68824E-38    0.16092E-41
     0.68488E+02    0.10154E-49    0.10154E-49    0.30831E-42    0.47720E-37    0.94562E-34    0.34884E-32    0.53272E-31    0.51821E-30    0.39733E-29    0.26809E-28    0.16920E-27    0.10374E-26    0.63415E-26    0.39417E-25    0.25296E-24    0.16956E-23    0.11966E-22    0.89437E-22    0.71280E-21    0.61185E-20    0.57287E-19    0.59104E-18    0.67439E-17    0.85067E-16    0.11847E-14    0.18097E-13    0.29724E-12    0.50616E-11    0.84512E-10    0.12764E-08    0.15550E-07    0.13106E-06    0.64236E-06    0.15645E-05    0.16835E-05    0.73836E-06    0.12594E-06    0.84926E-08    0.25951E-09    0.43993E-11    0.46535E-13    0.31911E-15    0.14421E-17    0.43432E-20    0.88019E-23    0.12057E-25    0.11257E-28    0.72215E-32    0.31196E-35    0.96919E-39
     0.94540E+02    0.10000E-49    0.10000E-49    0.10000E-49    0.17011E-45    0.12755E-39    0.14834E-37    0.48021E-36    0.82652E-35    0.10107E-33    0.10260E-32    0.94399E-32    0.82802E-31    0.71304E-30    0.61325E-29    0.53277E-28    0.47277E-27    0.43525E-26    0.42477E-25    0.44912E-24    0.51961E-23    0.65399E-22    0.88906E-21    0.13169E-19    0.21673E-18    0.39916E-17    0.81266E-16    0.17915E-14    0.41526E-13    0.96632E-12    0.21153E-10    0.40029E-09    0.58469E-08    0.56327E-07    0.29699E-06    0.72767E-06    0.74162E-06    0.29388E-06    0.43856E-07    0.25625E-08    0.69077E-10    0.10557E-11    0.10156E-13    0.63545E-16    0.26257E-18    0.72450E-21    0.13442E-23    0.16949E-26    0.14529E-29    0.84599E-33    0.35151E-36
     0.13050E+03    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.99090E-46    0.33751E-43    0.23547E-41    0.76146E-40    0.15861E-38    0.25209E-37    0.33689E-36    0.40290E-35    0.45247E-34    0.50029E-33    0.57318E-32    0.70989E-31    0.95872E-30    0.13714E-28    0.20007E-27    0.29432E-26    0.45311E-25    0.78557E-24    0.15882E-22    0.35992E-21    0.88268E-20    0.23626E-18    0.69451E-17    0.21829E-15    0.69918E-14    0.21476E-12    0.58773E-11    0.13157E-09    0.21656E-08    0.22501E-07    0.12155E-06    0.28804E-06    0.26957E-06    0.94176E-07    0.12059E-07    0.60169E-09    0.14126E-10    0.19166E-12    0.16486E-14    0.92492E-17    0.34333E-19    0.85171E-22    0.14265E-24    0.16140E-27    0.12504E-30    0.67202E-34
     0.18014E+03    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10052E-49    0.69473E-49    0.82974E-47    0.40844E-45    0.11171E-43    0.22520E-42    0.42037E-41    0.83482E-40    0.17454E-38    0.35532E-37    0.66629E-36    0.11200E-34    0.16690E-33    0.22616E-32    0.32720E-31    0.68619E-30    0.19698E-28    0.56502E-27    0.14733E-25    0.38584E-24    0.11896E-22    0.43820E-21    0.17699E-19    0.75320E-18    0.32919E-16    0.14024E-14    0.54201E-13    0.17541E-11    0.43691E-10    0.75985E-09    0.80020E-08    0.41953E-07    0.91927E-07    0.76071E-07    0.22661E-07    0.24164E-08    0.10039E-09    0.20087E-11    0.23657E-13    0.17777E-15    0.87361E-18    0.28457E-20    0.62087E-23    0.91176E-26    0.91470E-29    0.62216E-32
     0.24867E+03    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10005E-49    0.11079E-49    0.11460E-48    0.54239E-47    0.18159E-45    0.43239E-44    0.72571E-43    0.65932E-42    0.59881E-41    0.34024E-39    0.29320E-38    0.24246E-36    0.14168E-34    0.44451E-33    0.92217E-32    0.13662E-30    0.34701E-29    0.22680E-27    0.12801E-25    0.60440E-24    0.29940E-22    0.16926E-20    0.10167E-18    0.59997E-17    0.32450E-15    0.14899E-13    0.53569E-12    0.13917E-10    0.23927E-09    0.23911E-08    0.11462E-07    0.22054E-07    0.15413E-07    0.37490E-08    0.31954E-09    0.10680E-10    0.17701E-12    0.17602E-14    0.11237E-16    0.47048E-19    0.13081E-21    0.24357E-24    0.30748E-27    0.26105E-30
     0.34326E+03    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10038E-49    0.12667E-49    0.10947E-48    0.19277E-47    0.20027E-46    0.33794E-44    0.15974E-42    0.47694E-41    0.78223E-40    0.78570E-39    0.94065E-37    0.20741E-35    0.64720E-34    0.64515E-32    0.23445E-30    0.59539E-29    0.32560E-27    0.31216E-25    0.26437E-23    0.21314E-21    0.17081E-19    0.12810E-17    0.82647E-16    0.42206E-14    0.15753E-12    0.39851E-11    0.63136E-10    0.55764E-09    0.22864E-08    0.36411E-08    0.20345E-08    0.38290E-09    0.24792E-10    0.64048E-12    0.85271E-14    0.69502E-16    0.36590E-18    0.12667E-20    0.29159E-23    0.45128E-26    0.46841E-29
     0.47382E+03    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10004E-49    0.10145E-49    0.12343E-49    0.13078E-48    0.12658E-46    0.61263E-45    0.15788E-43    0.17892E-42    0.41103E-40    0.19735E-38    0.25130E-37    0.22870E-35    0.11209E-33    0.27423E-32    0.52534E-30    0.33900E-28    0.25514E-26    0.28081E-24    0.32148E-22    0.33686E-20    0.30360E-18    0.21808E-16    0.11522E-14    0.41495E-13    0.94910E-12    0.12837E-10    0.92651E-10    0.30148E-09    0.37137E-09    0.15569E-09    0.21289E-10    0.99001E-12    0.19044E-13    0.19831E-15    0.12896E-17    0.54445E-20    0.15148E-22    0.28092E-25    0.34811E-28
     0.65406E+03    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10003E-49    0.10793E-49    0.72055E-49    0.28309E-47    0.30574E-46    0.69003E-44    0.59365E-42    0.14842E-40    0.12566E-38    0.13008E-36    0.31302E-35    0.19419E-33    0.64730E-32    0.17813E-29    0.30885E-27    0.43019E-25    0.59835E-23    0.74550E-21    0.74818E-19    0.55443E-17    0.28034E-15    0.89963E-14    0.17150E-12    0.18199E-11    0.98370E-11    0.23358E-10    0.20631E-10    0.60447E-11    0.56142E-12    0.17840E-13    0.25003E-15    0.20043E-17    0.10189E-19    0.33734E-22    0.73709E-25    0.10696E-27
     0.90285E+03    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10004E-49    0.10270E-49    0.18270E-49    0.77274E-48    0.12551E-45    0.64946E-44    0.25896E-42    0.59902E-40    0.24695E-38    0.21981E-36    0.30575E-34    0.13676E-32    0.10987E-30    0.31686E-28    0.70231E-26    0.12348E-23    0.17225E-21    0.17761E-19    0.12487E-17    0.55494E-16    0.14545E-14    0.21125E-13    0.16029E-12    0.59001E-12    0.93268E-12    0.54393E-12    0.10347E-12    0.61486E-14    0.13048E-15    0.13391E-17    0.82314E-20    0.32301E-22    0.82554E-25    0.13878E-27
     0.12463E+04    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10001E-49    0.10039E-49    0.26088E-49    0.14836E-47    0.25210E-46    0.19569E-43    0.15919E-41    0.66373E-40    0.21018E-37    0.75655E-36    0.15134E-33    0.31279E-31    0.62240E-29    0.13915E-26    0.26710E-24    0.38167E-22    0.37085E-20    0.22620E-18    0.80519E-17    0.15665E-15    0.15726E-14    0.77353E-14    0.17581E-13    0.16831E-13    0.59599E-14    0.68946E-15    0.25481E-16    0.37024E-18    0.28555E-20    0.13470E-22    0.40479E-25    0.78803E-28
     0.17204E+04    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10001E-49    0.10209E-49    0.12877E-49    0.39951E-47    0.56080E-45    0.10379E-43    0.12092E-40    0.11572E-38    0.25463E-37    0.49056E-35    0.23380E-32    0.10403E-29    0.28303E-27    0.55672E-25    0.74168E-23    0.61585E-21    0.29499E-19    0.76009E-18    0.99148E-17    0.62264E-16    0.18057E-15    0.23174E-15    0.12348E-15    0.24740E-16    0.16833E-17    0.39892E-19    0.42118E-21    0.24873E-23    0.89756E-26    0.20455E-28
     0.23747E+04    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10001E-49    0.10527E-49    0.13782E-48    0.23105E-47    0.41217E-44    0.69237E-42    0.15069E-40    0.15133E-37    0.25664E-35    0.61377E-33    0.20331E-30    0.54813E-28    0.10004E-25    0.11273E-23    0.72259E-22    0.24457E-20    0.41018E-19    0.32398E-18    0.11606E-17    0.18347E-17    0.12480E-17    0.35208E-18    0.38846E-19    0.15921E-20    0.25930E-22    0.20606E-24    0.92858E-27    0.25335E-29
     0.32781E+04    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10019E-49    0.11262E-49    0.94147E-48    0.28371E-45    0.80890E-44    0.72464E-41    0.96785E-39    0.11274E-36    0.99221E-34    0.37403E-31    0.92642E-29    0.14060E-26    0.11958E-24    0.52721E-23    0.11272E-21    0.11089E-20    0.48457E-20    0.92233E-20    0.75811E-20    0.26776E-20    0.40268E-21    0.25334E-22    0.66197E-24    0.76856E-26    0.45702E-28    0.15441E-30
     0.45250E+04    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10135E-49    0.83261E-49    0.66729E-47    0.31100E-44    0.90470E-42    0.13890E-39    0.37574E-37    0.17162E-34    0.58100E-32    0.11840E-29    0.13334E-27    0.76454E-26    0.20746E-24    0.25246E-23    0.13338E-22    0.30211E-22    0.29426E-22    0.12482E-22    0.23455E-23    0.19791E-24    0.75290E-26    0.13012E-27    0.10769E-29    0.46963E-32
     0.62462E+04    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10012E-49    0.12483E-49    0.76173E-48    0.36275E-45    0.50556E-43    0.40875E-41    0.55269E-38    0.25102E-35    0.68574E-33    0.10265E-30    0.76050E-29    0.25932E-27    0.38671E-26    0.24480E-25    0.65337E-25    0.74423E-25    0.37103E-25    0.83634E-26    0.87968E-27    0.44047E-28    0.10570E-29    0.12282E-31    0.71644E-34
     0.86222E+04    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10001E-49    0.10111E-49    0.11937E-48    0.27276E-46    0.40983E-44    0.12876E-41    0.75874E-39    0.28153E-36    0.54155E-34    0.50742E-32    0.21670E-30    0.39623E-29    0.29997E-28    0.93829E-28    0.12384E-27    0.71487E-28    0.18852E-28    0.23715E-29    0.14681E-30    0.45386E-32    0.70427E-34    0.55027E-36
