            x(i)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)
     0.21658E-01    0.31899E-04    0.31884E-04    0.31864E-04    0.31837E-04    0.31799E-04    0.31747E-04    0.31675E-04    0.31576E-04    0.31440E-04    0.31253E-04    0.30997E-04    0.30646E-04    0.30169E-04    0.29523E-04    0.28654E-04    0.27497E-04    0.25976E-04    0.24016E-04    0.21552E-04    0.18563E-04    0.15112E-04    0.11383E-04    0.77064E-05    0.45078E-05    0.21592E-05    0.78788E-06    0.19888E-06    0.30592E-07    0.24332E-08    0.80952E-10    0.84882E-12    0.18786E-14    0.54725E-18    0.25365E-22    0.23911E-27    0.63518E-33    0.59084E-39    0.23824E-45    0.10050E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.29896E-01    0.43307E-04    0.43288E-04    0.43261E-04    0.43223E-04    0.43172E-04    0.43101E-04    0.43003E-04    0.42869E-04    0.42684E-04    0.42431E-04    0.42083E-04    0.41607E-04    0.40960E-04    0.40083E-04    0.38904E-04    0.37333E-04    0.35269E-04    0.32608E-04    0.29263E-04    0.25207E-04    0.20521E-04    0.15459E-04    0.10467E-04    0.61238E-05    0.29339E-05    0.10709E-05    0.27044E-06    0.41632E-07    0.33156E-08    0.11063E-09    0.11694E-11    0.26693E-14    0.91151E-18    0.62944E-22    0.87288E-27    0.38259E-32    0.63509E-38    0.47478E-44    0.11841E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.41268E-01    0.58426E-04    0.58399E-04    0.58363E-04    0.58313E-04    0.58243E-04    0.58148E-04    0.58016E-04    0.57835E-04    0.57586E-04    0.57244E-04    0.56775E-04    0.56134E-04    0.55261E-04    0.54079E-04    0.52489E-04    0.50371E-04    0.47588E-04    0.43999E-04    0.39489E-04    0.34018E-04    0.27698E-04    0.20869E-04    0.14134E-04    0.82714E-05    0.39645E-05    0.14479E-05    0.36598E-06    0.56416E-07    0.45044E-08    0.15113E-09    0.16214E-11    0.39081E-14    0.16708E-17    0.16619E-21    0.35394E-26    0.25238E-31    0.72891E-37    0.99185E-43    0.80060E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.56966E-01    0.78139E-04    0.78103E-04    0.78054E-04    0.77987E-04    0.77895E-04    0.77767E-04    0.77591E-04    0.77349E-04    0.77017E-04    0.76560E-04    0.75933E-04    0.75077E-04    0.73911E-04    0.72332E-04    0.70207E-04    0.67377E-04    0.63659E-04    0.58864E-04    0.52837E-04    0.45525E-04    0.37076E-04    0.27943E-04    0.18933E-04    0.11087E-04    0.53183E-05    0.19446E-05    0.49232E-06    0.76090E-07    0.61041E-08    0.20689E-09    0.22803E-11    0.60165E-14    0.33981E-17    0.46886E-21    0.15810E-25    0.18479E-30    0.91617E-36    0.22322E-41    0.28304E-47    0.10002E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.78635E-01    0.10325E-03    0.10321E-03    0.10314E-03    0.10305E-03    0.10293E-03    0.10276E-03    0.10253E-03    0.10221E-03    0.10177E-03    0.10117E-03    0.10035E-03    0.99217E-04    0.97680E-04    0.95597E-04    0.92796E-04    0.89064E-04    0.84160E-04    0.77834E-04    0.69882E-04    0.60231E-04    0.49075E-04    0.37009E-04    0.25097E-04    0.14713E-04    0.70683E-05    0.25899E-05    0.65773E-06    0.10216E-06    0.82674E-08    0.28544E-09    0.32970E-11    0.99792E-14    0.76148E-17    0.14352E-20    0.77095E-25    0.14992E-29    0.12770E-34    0.55125E-40    0.12389E-45    0.10201E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.10855E+00    0.13420E-03    0.13414E-03    0.13405E-03    0.13394E-03    0.13378E-03    0.13356E-03    0.13326E-03    0.13285E-03    0.13228E-03    0.13150E-03    0.13043E-03    0.12897E-03    0.12698E-03    0.12429E-03    0.12066E-03    0.11583E-03    0.10948E-03    0.10128E-03    0.90978E-04    0.78463E-04    0.63984E-04    0.48308E-04    0.32810E-04    0.19275E-04    0.92868E-05    0.34163E-05    0.87260E-06    0.13676E-06    0.11246E-07    0.40108E-09    0.50004E-11    0.18196E-13    0.18579E-16    0.48532E-20    0.41054E-24    0.13368E-28    0.19696E-33    0.14979E-38    0.60674E-44    0.28114E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.14984E+00    0.17047E-03    0.17039E-03    0.17029E-03    0.17015E-03    0.16995E-03    0.16967E-03    0.16929E-03    0.16877E-03    0.16806E-03    0.16708E-03    0.16573E-03    0.16389E-03    0.16138E-03    0.15798E-03    0.15341E-03    0.14732E-03    0.13930E-03    0.12896E-03    0.11594E-03    0.10011E-03    0.81765E-04    0.61867E-04    0.42142E-04    0.24854E-04    0.12039E-04    0.44612E-05    0.11515E-05    0.18343E-06    0.15510E-07    0.58378E-09    0.81457E-11    0.36738E-13    0.49140E-16    0.18309E-19    0.24097E-23    0.13066E-27    0.33360E-32    0.44435E-37    0.33274E-42    0.16566E-47    0.10002E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.20683E+00    0.20983E-03    0.20974E-03    0.20961E-03    0.20943E-03    0.20919E-03    0.20886E-03    0.20840E-03    0.20777E-03    0.20691E-03    0.20572E-03    0.20409E-03    0.20185E-03    0.19881E-03    0.19469E-03    0.18915E-03    0.18175E-03    0.17201E-03    0.15943E-03    0.14356E-03    0.12423E-03    0.10177E-03    0.77316E-04    0.52951E-04    0.31456E-04    0.15385E-04    0.57768E-05    0.15192E-05    0.24886E-06    0.22033E-07    0.89984E-09    0.14531E-10    0.81744E-13    0.14190E-15    0.76969E-19    0.15734E-22    0.14065E-26    0.61794E-31    0.14310E-35    0.20100E-40    0.14666E-45    0.10928E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.28551E+00    0.24731E-03    0.24720E-03    0.24705E-03    0.24685E-03    0.24657E-03    0.24619E-03    0.24567E-03    0.24495E-03    0.24396E-03    0.24260E-03    0.24073E-03    0.23818E-03    0.23470E-03    0.22998E-03    0.22362E-03    0.21512E-03    0.20393E-03    0.18943E-03    0.17109E-03    0.14866E-03    0.12246E-03    0.93719E-04    0.64818E-04    0.39009E-04    0.19409E-04    0.74568E-05    0.20236E-05    0.34685E-06    0.32913E-07    0.15004E-08    0.28602E-10    0.19927E-12    0.45311E-15    0.35900E-18    0.11439E-21    0.16751E-25    0.12504E-29    0.50206E-34    0.12917E-38    0.13513E-43    0.31651E-48    0.10002E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.39411E+00    0.27457E-03    0.27444E-03    0.27428E-03    0.27407E-03    0.27379E-03    0.27339E-03    0.27284E-03    0.27209E-03    0.27105E-03    0.26962E-03    0.26767E-03    0.26499E-03    0.26134E-03    0.25638E-03    0.24969E-03    0.24073E-03    0.22889E-03    0.21348E-03    0.19388E-03    0.16973E-03    0.14121E-03    0.10950E-03    0.77056E-04    0.47428E-04    0.24292E-04    0.96894E-05    0.27621E-05    0.50611E-06    0.52731E-07    0.27394E-08    0.61985E-10    0.53328E-12    0.16139E-14    0.18574E-17    0.92124E-21    0.21998E-24    0.27525E-28    0.19251E-32    0.84585E-37    0.15995E-41    0.70409E-46    0.11294E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
