            x(i)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)
     0.46909E-01    0.65536E-04    0.65495E-04    0.65434E-04    0.65344E-04    0.65209E-04    0.65007E-04    0.64707E-04    0.64259E-04    0.63596E-04    0.62617E-04    0.61180E-04    0.59092E-04    0.56102E-04    0.51912E-04    0.46227E-04    0.38874E-04    0.30021E-04    0.20427E-04    0.11524E-04    0.49350E-05    0.14137E-05    0.22714E-06    0.16135E-07    0.36928E-09    0.17447E-11    0.10916E-14    0.13655E-18    0.33464E-23    0.26989E-28    0.89942E-34    0.14673E-39    0.11459E-45    0.10068E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.70187E-01    0.93545E-04    0.93488E-04    0.93401E-04    0.93272E-04    0.93080E-04    0.92793E-04    0.92365E-04    0.91728E-04    0.90784E-04    0.89389E-04    0.87343E-04    0.84369E-04    0.80110E-04    0.74141E-04    0.66039E-04    0.55557E-04    0.42929E-04    0.29234E-04    0.16513E-04    0.70836E-05    0.20346E-05    0.32837E-06    0.23541E-07    0.55191E-09    0.28478E-11    0.25449E-14    0.50235E-18    0.23355E-22    0.37090E-27    0.25110E-32    0.85725E-38    0.13706E-43    0.29901E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.10502E+00    0.13045E-03    0.13037E-03    0.13025E-03    0.13007E-03    0.12980E-03    0.12940E-03    0.12881E-03    0.12793E-03    0.12662E-03    0.12468E-03    0.12184E-03    0.11772E-03    0.11181E-03    0.10352E-03    0.92259E-04    0.77684E-04    0.60102E-04    0.41004E-04    0.23222E-04    0.10000E-04    0.28890E-05    0.47081E-06    0.34416E-07    0.84744E-09    0.51089E-11    0.68618E-14    0.20837E-17    0.18071E-21    0.57046E-26    0.79339E-31    0.56073E-36    0.19265E-41    0.58621E-47    0.10003E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.15713E+00    0.17568E-03    0.17558E-03    0.17542E-03    0.17518E-03    0.17482E-03    0.17429E-03    0.17350E-03    0.17233E-03    0.17058E-03    0.16801E-03    0.16423E-03    0.15873E-03    0.15085E-03    0.13979E-03    0.12475E-03    0.10524E-03    0.81652E-04    0.55929E-04    0.31857E-04    0.13832E-04    0.40457E-05    0.67290E-06    0.51168E-07    0.13804E-08    0.10485E-10    0.20882E-13    0.10030E-16    0.15742E-20    0.97376E-25    0.27751E-29    0.39862E-34    0.31320E-39    0.15523E-44    0.11080E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.23510E+00    0.22463E-03    0.22449E-03    0.22429E-03    0.22399E-03    0.22355E-03    0.22289E-03    0.22191E-03    0.22044E-03    0.21827E-03    0.21506E-03    0.21034E-03    0.20348E-03    0.19363E-03    0.17978E-03    0.16090E-03    0.13630E-03    0.10638E-03    0.73495E-04    0.42373E-04    0.18718E-04    0.56154E-05    0.97248E-06    0.79559E-07    0.24863E-08    0.24959E-10    0.71261E-13    0.56133E-16    0.15730E-19    0.18644E-23    0.10670E-27    0.30569E-32    0.55496E-37    0.33858E-42    0.49087E-47    0.10012E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.35177E+00    0.26581E-03    0.26564E-03    0.26542E-03    0.26509E-03    0.26460E-03    0.26386E-03    0.26276E-03    0.26113E-03    0.25870E-03    0.25512E-03    0.24984E-03    0.24215E-03    0.23107E-03    0.21543E-03    0.19397E-03    0.16576E-03    0.13101E-03    0.92124E-04    0.54439E-04    0.24885E-04    0.78353E-05    0.14590E-05    0.13429E-06    0.51053E-08    0.68173E-10    0.27705E-12    0.36005E-15    0.17983E-18    0.40210E-22    0.44833E-26    0.25694E-30    0.97175E-35    0.82302E-40    0.56211E-44    0.94648E-49    0.10002E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.52633E+00    0.28034E-03    0.28017E-03    0.27995E-03    0.27966E-03    0.27920E-03    0.27853E-03    0.27752E-03    0.27602E-03    0.27379E-03    0.27048E-03    0.26560E-03    0.25845E-03    0.24808E-03    0.23328E-03    0.21267E-03    0.18502E-03    0.14995E-03    0.10915E-03    0.67582E-04    0.32865E-04    0.11236E-04    0.23422E-05    0.25298E-06    0.11996E-07    0.21198E-09    0.12463E-11    0.26280E-14    0.23111E-17    0.95813E-21    0.20213E-24    0.23358E-28    0.15505E-32    0.45764E-37    0.27866E-41    0.81671E-46    0.13751E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.78751E+00    0.24929E-03    0.24915E-03    0.24900E-03    0.24883E-03    0.24855E-03    0.24814E-03    0.24752E-03    0.24660E-03    0.24522E-03    0.24316E-03    0.24010E-03    0.23555E-03    0.22880E-03    0.21890E-03    0.20453E-03    0.18415E-03    0.15638E-03    0.12109E-03    0.81144E-04    0.43547E-04    0.16812E-04    0.40767E-05    0.53235E-06    0.31906E-07    0.75388E-09    0.64880E-11    0.21814E-13    0.32894E-16    0.24494E-19    0.95594E-23    0.21176E-26    0.24165E-30    0.22804E-34    0.31804E-39    0.50688E-43    0.13692E-48    0.10027E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.11783E+01    0.17237E-03    0.17228E-03    0.17225E-03    0.17225E-03    0.17224E-03    0.17222E-03    0.17219E-03    0.17214E-03    0.17206E-03    0.17190E-03    0.17163E-03    0.17111E-03    0.17010E-03    0.16815E-03    0.16437E-03    0.15722E-03    0.14439E-03    0.12325E-03    0.92859E-04    0.57164E-04    0.25873E-04    0.75496E-05    0.12251E-05    0.94952E-07    0.30680E-08    0.38774E-10    0.20459E-12    0.51178E-15    0.65826E-18    0.45957E-21    0.18040E-24    0.40200E-28    0.61430E-32    0.19019E-36    0.74168E-40    0.54589E-44    0.43109E-48    0.10016E-49    0.10000E-49    0.10000E-49
     0.17630E+01    0.82474E-04    0.82440E-04    0.82488E-04    0.82613E-04    0.82782E-04    0.83035E-04    0.83411E-04    0.83967E-04    0.84786E-04    0.85983E-04    0.87712E-04    0.90161E-04    0.93530E-04    0.97939E-04    0.10323E-03    0.10858E-03    0.11189E-03    0.10932E-03    0.96126E-04    0.70478E-04    0.38862E-04    0.14186E-04    0.29720E-05    0.30897E-06    0.14044E-07    0.26255E-09    0.21400E-11    0.85869E-14    0.18331E-16    0.21722E-19    0.14673E-22    0.58968E-26    0.13350E-29    0.21061E-33    0.16430E-37    0.26773E-42    0.19510E-45    0.27376E-49    0.10001E-49    0.10000E-49
     0.26379E+01    0.23167E-04    0.23162E-04    0.23214E-04    0.23322E-04    0.23475E-04    0.23702E-04    0.24042E-04    0.24549E-04    0.25304E-04    0.26424E-04    0.28081E-04    0.30516E-04    0.34055E-04    0.39111E-04    0.46123E-04    0.55342E-04    0.66298E-04    0.76779E-04    0.81750E-04    0.74364E-04    0.52288E-04    0.25085E-04    0.71356E-05    0.10439E-05    0.69366E-07    0.19576E-08    0.24501E-10    0.15341E-12    0.52234E-15    0.10051E-17    0.11228E-20    0.73955E-24    0.29338E-27    0.71384E-31    0.94878E-35    0.12998E-38    0.19802E-43    0.98545E-47    0.10424E-49    0.10000E-49
     0.39469E+01    0.30529E-05    0.30539E-05    0.30727E-05    0.31098E-05    0.31626E-05    0.32418E-05    0.33607E-05    0.35395E-05    0.38089E-05    0.42162E-05    0.48344E-05    0.57784E-05    0.72290E-05    0.94729E-05    0.12954E-04    0.18319E-04    0.26340E-04    0.37430E-04    0.50212E-04    0.59331E-04    0.56036E-04    0.37397E-04    0.15327E-04    0.33451E-05    0.34247E-06    0.15180E-07    0.29647E-09    0.28627E-11    0.15116E-13    0.45644E-16    0.80673E-19    0.84949E-22    0.54031E-25    0.20824E-28    0.50894E-32    0.68506E-36    0.81180E-40    0.20006E-44    0.27269E-48    0.10002E-49
